Gene,logFC,padj,p_value
TAF15,1.0245927,NA,4.93E-01
CCL5,2.8601234,NA,5.04E-02
LRRC37A8P,-1.5857856,NA,3.78E-01
LOC101927369,2.7650312,NA,1.37E-01
TBC1D3B,0.364192,NA,7.23E-01
TBC1D3I,-0.7565973,NA,3.71E-01
TBC1D3G,-1.4056138,NA,1.24E-01
TBC1D3H,-0.360302,NA,6.93E-01
TBC1D3F,-0.3378427,NA,7.82E-01
MYO19,-0.3126979,NA,8.29E-01
LOC105371750,-0.8375789,NA,5.15E-01
ACACA,-0.4427496,NA,7.07E-01
TADA2A,-1.1155083,NA,5.02E-01
TBC1D3K,-0.8983714,NA,3.42E-01
TBC1D3L,-0.3947316,NA,6.21E-01
TBC1D3D,-1.1222997,NA,2.03E-01
TBC1D3C,-0.9791769,NA,3.04E-01
TBC1D3E,-0.3329189,NA,7.40E-01
TBC1D3,-0.0294925,NA,9.79E-01
GPR179,-0.582429,NA,6.83E-01
SOCS7,0.3666631,NA,7.81E-01
ARHGAP23,0.1042028,NA,9.38E-01
MLLT6,0.1391573,NA,9.01E-01
PCGF2,-1.8620528,NA,1.74E-01
LASP1,-0.2387115,NA,8.88E-01
CACNB1,1.1502474,NA,4.78E-01
STAC2,-1.3443875,NA,3.20E-01
MED1,0.8515025,NA,5.72E-01
CDK12,-1.0213837,NA,4.05E-01
PPP1R1B,-0.3878868,NA,8.09E-01
STARD3,2.6336203,NA,1.56E-01
PGAP3,-1.8615467,NA,2.88E-01
ERBB2,-0.2256561,NA,8.68E-01
IKZF3,0.0261386,NA,9.84E-01
MED24,-0.0356786,NA,9.83E-01
THRA,1.9095877,NA,1.93E-01
WIPF2,-2.5199507,NA,1.54E-01
RARA,1.0074258,NA,4.37E-01
LOC105371934,-2.8370215,NA,4.90E-02
GJD3,-0.0826341,NA,9.56E-01
TOP2A,0.4966379,NA,7.23E-01
IGFBP4,0.2586092,NA,8.51E-01
TNS4,-0.2730225,NA,8.68E-01
CCR7,-0.109156,NA,9.59E-01
SMARCE1,-1.1682834,NA,5.12E-01
EIF1,1.5413151,NA,2.89E-01
HAP1,-0.3595631,NA,8.32E-01
JUP,-1.5071264,NA,3.00E-01
FKBP10,-0.9994787,NA,5.75E-01
ACLY,-0.9798541,NA,4.14E-01
CNP,0.9470778,NA,4.76E-01
DNAJC7,-1.1768308,NA,4.61E-01
KAT2A,-0.5005348,NA,6.79E-01
KCNH4,-1.0455126,NA,5.64E-01
GHDC,1.2932899,NA,3.86E-01
STAT5A,1.2494436,NA,4.68E-01
ATP6V0A1,0.6926009,NA,6.99E-01
NAGLU,1.3859101,NA,3.84E-01
TUBG2,0.148751,NA,9.34E-01
CNTNAP1,0.7612135,NA,5.12E-01
WNK4,0.1782997,NA,9.18E-01
RND2,0.1322389,NA,9.35E-01
NBR1,0.948904,NA,5.11E-01
DHX8,-2.2490121,NA,1.37E-01
CFAP97D1,-0.3080017,NA,8.77E-01
MPP3,-1.1985439,NA,3.44E-01
CD300LG,0.1748774,NA,9.08E-01
MPP2,-1.0229469,NA,4.70E-01
HDAC5,-0.4318311,NA,7.00E-01
ATXN7L3,0.7992846,NA,4.95E-01
UBTF,0.8752485,NA,5.21E-01
SLC4A1,-0.1708837,NA,8.90E-01
SLC25A39,0.5532567,NA,7.68E-01
ITGA2B,-0.3093421,NA,7.54E-01
GPATCH8,0.4644002,NA,7.29E-01
MEIOC,0.6829041,NA,7.10E-01
DBF4B,-0.6007566,NA,6.25E-01
ADAM11,1.6557401,NA,3.38E-01
GJC1,0.4521084,NA,7.66E-01
EFTUD2,-0.2920112,NA,8.56E-01
GFAP,-0.6157074,NA,5.20E-01
KIF18B,0.5293103,NA,7.26E-01
PLCD3,-0.0253593,NA,9.85E-01
FMNL1,0.7972448,NA,4.77E-01
MAP3K14,0.2248535,NA,8.62E-01
PLEKHM1,-0.4308584,NA,7.44E-01
LRRC37A4P,1.0654169,NA,4.84E-01
LINC02210,-1.8218725,NA,2.47E-01
CRHR1,0.4997293,NA,7.91E-01
SPPL2C,-0.1460051,NA,9.17E-01
MAPT,1.6708723,NA,2.87E-01
LOC105371800,-1.5803339,NA,3.28E-01
KANSL1,0.3964532,NA,8.06E-01
LOC107987254,0.5881166,NA,7.61E-01
ARL17A,-0.8938804,NA,5.34E-01
LRRC37A2,0.5088764,NA,7.18E-01
FAM215B,0.4913294,NA,7.99E-01
NSF,0.2446729,NA,8.91E-01
WNT9B,-1.812791,NA,2.35E-01
GOSR2,-1.226467,NA,2.99E-01
LOC101927060,0.3482741,NA,7.84E-01
MYL4,0.2900333,NA,8.64E-01
ITGB3,2.9130541,NA,2.87E-02
TBKBP1,-0.246861,NA,8.61E-01
OSBPL7,-1.280322,NA,3.11E-01
SP6,-0.3575968,NA,7.92E-01
SP2,-1.9911242,NA,2.18E-01
CDK5RAP3,2.5004154,NA,1.42E-01
COPZ2,-0.4437035,NA,7.67E-01
NFE2L1,1.0904679,NA,4.82E-01
HOXB3,0.3169387,NA,7.95E-01
HOXB-AS3,-1.2144084,NA,4.81E-01
TTLL6,-0.2176307,NA,8.50E-01
UBE2Z,0.8698516,NA,5.23E-01
IGF2BP1,1.165208,NA,3.10E-01
B4GALNT2,-0.6203451,NA,6.60E-01
PHOSPHO1,-0.8416732,NA,6.58E-01
ZNF652,-0.0493083,NA,9.73E-01
NXPH3,-0.2819131,NA,8.73E-01
FAM117A,1.4333113,NA,4.72E-01
KAT7,-1.0311843,NA,5.38E-01
ITGA3,1.3950228,NA,3.77E-01
SAMD14,0.1457667,NA,9.03E-01
PPP1R9B,0.7865952,NA,6.03E-01
COL1A1,-0.128812,NA,9.21E-01
RSAD1,0.1495283,NA,9.31E-01
MYCBPAP,-0.8644294,NA,5.81E-01
CACNA1G,-1.0555124,NA,4.24E-01
ABCC3,-0.4186708,NA,7.14E-01
LUC7L3,1.1758362,NA,4.99E-01
SPAG9,-0.0592507,NA,9.63E-01
MBTD1,1.0692937,NA,5.40E-01
UTP18,-2.1989222,NA,1.46E-01
CA10,1.6002935,NA,3.64E-01
COX11,-0.8245879,NA,5.70E-01
ANKFN1,-1.4613895,NA,2.50E-01
DGKE,0.4087499,NA,8.08E-01
LOC107984993,-0.1852867,NA,8.81E-01
CUEDC1,0.2333672,NA,8.78E-01
DYNLL2-DT,-0.1223086,NA,9.46E-01
DYNLL2,2.4138324,NA,7.81E-02
MPO,-0.1929006,NA,9.09E-01
TSPOAP1,1.3637905,NA,2.78E-01
RNF43,-1.9466705,NA,1.06E-01
MTMR4,0.4127093,NA,8.23E-01
SEPTIN4,-1.620842,NA,2.83E-01
RAD51C,1.0513645,NA,5.02E-01
PPM1E,0.7434143,NA,6.55E-01
CLTC,0.3191859,NA,7.88E-01
HEATR6,-0.3461687,NA,8.03E-01
USP32,-1.3450262,NA,3.15E-01
APPBP2,0.6932836,NA,6.71E-01
BRIP1,-0.7944607,NA,6.00E-01
MED13,0.534956,NA,7.32E-01
TBC1D3P2,-0.3033207,NA,8.44E-01
TLK2,-1.0252994,NA,5.32E-01
MRC2,-0.1508507,NA,9.00E-01
ACE,-0.5331623,NA,5.87E-01
KCNH6,1.307388,NA,2.38E-01
DCAF7,1.7026105,NA,2.78E-01
MAP3K3,0.0523161,NA,9.62E-01
LIMD2,0.5824916,NA,7.22E-01
CCDC47,0.3780813,NA,8.16E-01
PSMC5,0.5472708,NA,7.37E-01
SCN4A,-0.2356308,NA,7.43E-01
LOC105371858,0.9881961,NA,5.15E-01
PRR29,-1.8372952,NA,2.78E-01
ERN1,2.2626809,NA,1.30E-01
TEX2,-1.3213138,NA,3.76E-01
PECAM1,-0.2630133,NA,8.84E-01
ARHGAP27P1,-1.7017574,NA,3.27E-01
RGS9,-1.2213688,NA,5.35E-01
CEP112,-0.5345703,NA,7.56E-01
LOC105371867,0.507761,NA,7.71E-01
PRKCA,-0.1601445,NA,8.82E-01
CACNG5,-0.3707678,NA,7.45E-01
HELZ,-0.231792,NA,8.51E-01
PITPNC1,0.3815585,NA,8.15E-01
BPTF,-0.5620119,NA,6.79E-01
LINC00674,-0.3754123,NA,7.90E-01
ARSG,1.2813761,NA,4.25E-01
PRKAR1A,0.6521639,NA,6.11E-01
WIPI1,0.9962892,NA,6.46E-01
FAM20A,-0.548081,NA,7.04E-01
LOC105371874,1.7591305,NA,2.94E-01
ABCA8,-0.2187127,NA,9.13E-01
ABCA9,0.0473772,NA,9.76E-01
MAP2K6,-0.4487043,NA,7.39E-01
SLC39A11,1.4606049,NA,2.72E-01
FAM104A,2.5038723,NA,1.32E-01
TTYH2,-0.0951231,NA,9.50E-01
DNAI2,-0.9583171,NA,4.84E-01
KIF19,0.0814951,NA,9.48E-01
CD300A,3.0350754,NA,1.24E-01
LOC107985074,-2.6757252,NA,1.20E-01
LOC105371894,-0.2958456,NA,8.68E-01
RAB37,0.3624449,NA,8.39E-01
SLC9A3R1-AS1,3.3602558,NA,9.17E-02
NHERF1,1.9164564,NA,2.38E-01
NAT9,0.51189,NA,6.81E-01
TMEM104,-0.6603445,NA,6.40E-01
GRIN2C,0.9951726,NA,3.83E-01
FDXR,0.3951052,NA,8.14E-01
USH1G,-0.4886828,NA,8.06E-01
OTOP2,2.882242,NA,4.92E-02
OTOP3,-2.2644813,NA,1.86E-01
HID1,-0.8343679,NA,5.24E-01
CDR2L,1.4305161,NA,4.05E-01
KCTD2,-0.6498044,NA,7.49E-01
SLC16A5,0.1831092,NA,9.19E-01
ARMC7,0.2138002,NA,9.10E-01
NUP85,-1.9367743,NA,2.96E-01
GGA3,0.2834717,NA,8.71E-01
MIF4GD,0.613623,NA,7.43E-01
TMEM94,0.5971162,NA,5.96E-01
CASKIN2,-0.4696289,NA,6.89E-01
LLGL2,0.4277861,NA,7.23E-01
RECQL5,0.4180498,NA,6.58E-01
SMIM5,-0.7234196,NA,6.33E-01
SAP30BP,1.2804834,NA,4.68E-01
H3-3B,0.8344352,NA,6.36E-01
UNK,-0.3074004,NA,8.54E-01
UNC13D,1.1431213,NA,4.17E-01
TRIM47,-4.3326853,NA,9.43E-03
TRIM65,-2.3037073,NA,1.98E-01
FBF1,-0.6693091,NA,4.84E-01
EVPL,-1.0828999,NA,4.03E-01
EXOC7,-0.6596954,NA,6.10E-01
RNF157,0.0428173,NA,9.79E-01
QRICH2,-0.3794725,NA,7.36E-01
PRPSAP1,1.3050701,NA,3.54E-01
UBE2O,-0.6126217,NA,6.60E-01
AANAT,0.1492726,NA,9.19E-01
RHBDF2,0.7506738,NA,5.16E-01
PRCD,-0.0042107,NA,9.98E-01
ST6GALNAC2,1.6221531,NA,3.25E-01
MXRA7,-0.4710194,NA,7.69E-01
MFSD11,0.0208996,NA,9.92E-01
MGAT5B,1.3442081,NA,3.27E-01
SEC14L1,-0.8508228,NA,4.92E-01
SEPTIN9,0.9724498,NA,3.61E-01
LOC112268199,0.3733763,NA,8.48E-01
LINC01973,1.0461235,NA,6.00E-01
TNRC6C,0.0233057,NA,9.86E-01
TMC6,-0.453818,NA,7.31E-01
AFMID,0.5750523,NA,7.21E-01
TMEM235,-1.8629668,NA,2.97E-01
SOCS3,-0.5156976,NA,7.93E-01
PGS1,1.5061021,NA,2.38E-01
LOC112268196,-0.4357846,NA,7.86E-01
CYTH1,1.8234206,NA,2.85E-01
TIMP2,1.1221797,NA,4.80E-01
LGALS3BP,1.086187,NA,5.20E-01
CANT1,-0.5865925,NA,7.06E-01
ENGASE,0.5790484,NA,6.89E-01
RBFOX3,-0.4968243,NA,7.18E-01
ENPP7,1.3139404,NA,3.75E-01
CBX2,-0.0405045,NA,9.79E-01
LOC102723961,1.6720391,NA,1.78E-01
CBX4,0.1446213,NA,9.40E-01
LINC01979,-0.1924761,NA,9.09E-01
TBC1D16,-0.0912748,NA,9.32E-01
CCDC40,-0.1277264,NA,9.26E-01
GAA,-0.1089926,NA,9.28E-01
CARD14,-0.798448,NA,5.48E-01
SGSH,-1.2677996,NA,2.99E-01
ENDOV,-0.5066971,NA,7.14E-01
NPTX1,-0.0103427,NA,9.95E-01
RPTOR,-1.990544,NA,7.49E-02
LOC107985021,-1.9846359,NA,2.15E-01
BAIAP2,-1.0776622,NA,3.46E-01
LOC107987250,-0.1716001,NA,8.75E-01
AATK,0.4716918,NA,7.20E-01
PVALEF,2.6875391,NA,1.11E-01
TEPSIN,-1.028704,NA,6.06E-01
SLC38A10,0.4069571,NA,7.30E-01
FSCN2,1.2047036,NA,4.06E-01
NPLOC4,2.589958,NA,6.92E-02
CCDC137,-0.9911032,NA,5.98E-01
HGS,-0.3172945,NA,8.27E-01
GCGR,-2.1006119,NA,1.96E-01
ARHGDIA,0.3720649,NA,8.09E-01
PCYT2,0.623826,NA,6.10E-01
PYCR1,-1.5369654,NA,3.64E-01
RFNG,-0.0673571,NA,9.69E-01
GPS1,-0.1222112,NA,9.40E-01
DUS1L,2.2882027,NA,1.57E-01
CD7,2.0766796,NA,2.17E-01
OGFOD3,-1.4681611,NA,4.23E-01
NARF,0.4026213,NA,8.11E-01
FOXK2,-0.2707386,NA,8.62E-01
B3GNTL1,-1.5319189,NA,2.52E-01
LOC100505909,0.0344471,NA,9.86E-01
MGC70870,-0.8301964,NA,6.38E-01
LOC105379280,0.5086181,NA,7.66E-01
ROCK1P1,0.8605264,NA,3.24E-01
MIR8078,1.137996,NA,2.78E-01
ENOSF1,-0.9860326,NA,4.10E-01
SMCHD1,0.3572434,NA,8.11E-01
LPIN2,0.7837794,NA,6.11E-01
MYOM1,0.8148571,NA,5.85E-01
DLGAP1,0.7050049,NA,6.94E-01
ZBTB14,0.7547752,NA,7.14E-01
EPB41L3,-0.3281371,NA,8.06E-01
LOC100286986,1.5610294,NA,4.03E-01
TMEM200C,-0.4821028,NA,7.77E-01
L3MBTL4,-1.7493893,NA,1.35E-01
LAMA1,-0.1988514,NA,8.90E-01
LOC101927188,-0.437239,NA,8.31E-01
PTPRM,1.1628434,NA,3.57E-01
MTCL1,-0.5855381,NA,6.57E-01
ANKRD12,2.4239165,NA,1.62E-01
PPP4R1,-0.1412259,NA,9.33E-01
LOC105371988,0.0957849,NA,9.50E-01
APCDD1,-2.6847965,NA,6.10E-02
MPPE1,0.2073945,NA,8.80E-01
TUBB6,-0.3576278,NA,8.05E-01
AFG3L2,1.5933431,NA,2.48E-01
SPIRE1,-0.9045062,NA,5.38E-01
CEP192,-1.3296692,NA,4.02E-01
ROCK1,-0.3550079,NA,8.33E-01
GREB1L,-1.3798739,NA,3.29E-01
MIB1,0.5423447,NA,7.24E-01
CABLES1,-0.7995646,NA,5.68E-01
TMEM241,-2.0864796,NA,1.18E-01
NPC1,-0.4932485,NA,7.56E-01
LAMA3,0.9954363,NA,4.43E-01
OSBPL1A,0.5289365,NA,7.46E-01
ZNF521,-1.2418753,NA,4.17E-01
CHST9,-1.6225843,NA,2.31E-01
RNF138,-0.7580365,NA,6.44E-01
KLHL14,-0.1716044,NA,9.14E-01
NOL4,-1.2699194,NA,4.28E-01
DTNA,0.4860737,NA,7.64E-01
MAPRE2,2.3387796,NA,1.21E-01
RPRD1A,-1.6621165,NA,2.95E-01
MOCOS,-1.5759395,NA,3.11E-01
FHOD3,-0.3357434,NA,7.91E-01
TPGS2,-0.2411313,NA,8.73E-01
KIAA1328,-1.4782091,NA,3.62E-01
PIK3C3,0.5819773,NA,6.80E-01
SLC14A2,0.2391165,NA,8.69E-01
SLC14A2-AS1,-1.4871822,NA,3.57E-01
EPG5,0.7747593,NA,5.94E-01
RNF165,1.8517249,NA,1.55E-01
ST8SIA5,0.5169672,NA,7.69E-01
PIAS2,-0.7255316,NA,5.90E-01
KATNAL2,-1.68519,NA,3.44E-01
ELOA3DP,0.0256843,NA,9.89E-01
ELOA3BP,-0.1330336,NA,9.37E-01
ELOA3P,0.2224482,NA,8.93E-01
SMAD2,0.9310487,NA,4.73E-01
ZBTB7C,-0.6145392,NA,7.07E-01
CTIF,0.515896,NA,6.77E-01
LOC107987258,0.4062809,NA,8.15E-01
LOC105372107,-1.2098174,NA,4.91E-01
LOC107985147,0.5571302,NA,7.01E-01
DYM,0.1419896,NA,9.28E-01
LIPG,-0.336238,NA,8.52E-01
MYO5B,-0.6114611,NA,6.96E-01
MBD1,0.1913709,NA,8.90E-01
CXXC1,0.5268944,NA,7.65E-01
SMAD4,0.9690739,NA,5.61E-01
TCF4,-0.5517657,NA,6.33E-01
TXNL1,-0.5568555,NA,6.87E-01
WDR7,2.0406071,NA,2.58E-01
ONECUT2,-1.7100744,NA,2.60E-01
NARS1,1.2240825,NA,4.76E-01
ATP8B1,-0.7070692,NA,5.84E-01
MALT1,0.867689,NA,5.08E-01
LMAN1,-0.1123226,NA,9.54E-01
CDH20,-0.5789798,NA,7.65E-01
PIGN,-2.4781352,NA,1.48E-01
ZCCHC2,0.0197378,NA,9.93E-01
BCL2,2.3438761,NA,1.58E-01
CDH7,-1.2188161,NA,5.02E-01
DOK6,-0.4334311,NA,7.68E-01
CD226,-0.767051,NA,6.13E-01
RTTN,-2.0982114,NA,1.67E-01
LINC02864,-1.9880448,NA,3.10E-01
CNDP2,-2.4979425,NA,9.47E-02
ZNF407,0.9622354,NA,4.61E-01
ZNF516,0.3167962,NA,8.41E-01
ZNF236,-0.3153313,NA,8.11E-01
GALR1,-0.4082351,NA,7.64E-01
SALL3,1.3331454,NA,4.20E-01
ATP9B,-0.73932,NA,5.47E-01
NFATC1,1.5012147,NA,2.75E-01
LOC101927897,0.3123487,NA,7.74E-01
LOC102723506,-0.8664172,NA,6.43E-01
CTDP1,-0.2376531,NA,8.60E-01
LOC105376875,1.451075,NA,3.41E-01
KCNG2,-2.076649,NA,2.19E-01
LINC01002,-0.1622252,NA,9.05E-01
LOC101928344,-0.6656921,NA,6.43E-01
C2CD4C,0.6715778,NA,6.68E-01
SHC2,0.2047612,NA,9.03E-01
ODF3L2,-0.3845753,NA,8.27E-01
CDC34,0.2263324,NA,9.05E-01
BSG,1.1870502,NA,4.19E-01
POLRMT,0.4700718,NA,6.98E-01
MISP,-0.8100462,NA,6.80E-01
MED16,-0.3403918,NA,8.30E-01
ARID3A,1.3811213,NA,3.73E-01
GRIN3B,-0.0748302,NA,9.62E-01
CNN2,-0.3265477,NA,8.40E-01
ABCA7,0.3347646,NA,7.95E-01
POLR2E,1.7558011,NA,1.82E-01
SBNO2,2.108287,NA,6.62E-02
LOC102723798,0.8086983,NA,5.90E-01
STK11,-0.1055619,NA,9.53E-01
CBARP,-0.0483715,NA,9.72E-01
MIDN,-0.2949261,NA,8.54E-01
PWWP3A,0.5499933,NA,7.73E-01
APC2,0.7251339,NA,5.00E-01
C19orf25,0.8179965,NA,6.28E-01
ADAMTSL5,0.4909342,NA,7.78E-01
PLK5,-0.5483771,NA,6.45E-01
MBD3,1.1008973,NA,4.43E-01
TCF3,1.0739155,NA,4.10E-01
ONECUT3,-1.2446831,NA,3.66E-01
LOC101928543,-0.1939987,NA,9.00E-01
ATP8B3,0.9200154,NA,5.39E-01
REXO1,2.5904536,NA,1.69E-01
KLF16,-0.4147654,NA,8.13E-01
ABHD17A,0.9437922,NA,6.13E-01
CSNK1G2,0.7533006,NA,6.52E-01
MKNK2,1.0475431,NA,3.33E-01
AP3D1,0.7186015,NA,5.81E-01
DOT1L,0.2557818,NA,8.12E-01
SF3A2,0.290406,NA,8.64E-01
OAZ1,0.9990817,NA,4.98E-01
SPPL2B,-0.7313352,NA,5.51E-01
TMPRSS9,-0.3119028,NA,7.82E-01
LMNB2,3.4641494,NA,2.96E-02
GADD45B,-2.1733728,NA,2.17E-01
GNG7,-0.3943942,NA,7.91E-01
SLC39A3,2.7956985,NA,8.28E-02
THOP1,0.1060696,NA,9.27E-01
ZNF554,-0.8350511,NA,5.62E-01
ZNF555,0.500177,NA,7.68E-01
TLE6,1.227248,NA,3.06E-01
TLE2,0.7817356,NA,5.55E-01
TLE5,3.6171667,NA,3.26E-02
NCLN,-0.4565999,NA,7.69E-01
CELF5,-1.0970451,NA,3.73E-01
NFIC,1.4461221,NA,2.56E-01
FZR1,0.0595085,NA,9.65E-01
MFSD12,-0.0939354,NA,9.52E-01
HMG20B,-0.112077,NA,9.49E-01
CACTIN,0.7362045,NA,4.78E-01
TJP3,-0.4040467,NA,7.97E-01
ZFR2,0.2811149,NA,8.52E-01
ATCAY,-1.1302394,NA,4.54E-01
PIAS4,1.3650041,NA,4.17E-01
ZBTB7A,0.6670483,NA,6.70E-01
MAP2K2,-1.1790797,NA,5.10E-01
FSD1,-0.1147185,NA,9.33E-01
CHAF1A,2.0140967,NA,1.14E-01
HDGFL2,-0.029453,NA,9.85E-01
PLIN4,1.6576357,NA,3.14E-01
PLIN5,-3.5775356,NA,2.71E-02
SEMA6B,-0.4313817,NA,7.48E-01
TNFAIP8L1,-1.3592226,NA,4.22E-01
DPP9,1.1344316,NA,3.12E-01
FEM1A,-0.4394957,NA,7.99E-01
TICAM1,1.54752,NA,4.53E-01
KDM4B,0.1777903,NA,8.81E-01
SAFB2,0.4002935,NA,7.72E-01
SAFB,-0.5153487,NA,6.64E-01
LOC107985320,-1.2277984,NA,4.44E-01
LONP1,-0.6048357,NA,6.07E-01
CATSPERD,-1.2797338,NA,4.27E-01
FUT6,1.4011942,NA,4.17E-01
RANBP3,-1.0270352,NA,4.21E-01
RFX2,-0.7664379,NA,6.14E-01
ACSBG2,-1.5603296,NA,3.39E-01
MLLT1,-1.0751984,NA,3.66E-01
GTF2F1,2.3796474,NA,1.43E-01
SLC25A23,-1.3001913,NA,3.39E-01
CRB3,-0.2310861,NA,9.09E-01
DENND1C,1.7943674,NA,2.17E-01
TUBB4A,2.6265335,NA,1.24E-01
C3,-0.2959614,NA,8.05E-01
TRIP10,-1.6269874,NA,3.95E-01
SH2D3A,-1.1005372,NA,5.45E-01
VAV1,-0.7932662,NA,5.82E-01
INSR,0.1839826,NA,9.07E-01
ARHGEF18,0.889291,NA,3.53E-01
MCOLN1,-0.7334067,NA,6.42E-01
PNPLA6,1.2172006,NA,3.32E-01
CAMSAP3,-0.1637884,NA,9.10E-01
PCP2,0.423306,NA,8.13E-01
STXBP2,1.1434347,NA,4.93E-01
FCER2,-0.7568971,NA,6.79E-01
EVI5L,1.8221679,NA,2.60E-01
PRR36,1.8700295,NA,2.55E-01
CERS4,0.0947026,NA,9.48E-01
MARCHF2,-0.2086526,NA,8.96E-01
HNRNPM,0.4648075,NA,7.39E-01
MYO1F,-0.0259754,NA,9.82E-01
ADAMTS10,-0.1954807,NA,9.08E-01
ZNF558,-1.5074671,NA,3.06E-01
ZNF317,0.7458248,NA,6.89E-01
ZNF562,-1.8956624,NA,1.01E-01
C3P1,1.5624413,NA,3.52E-01
PPAN-P2RY11,-0.3752043,NA,8.33E-01
P2RY11,-0.5569628,NA,7.63E-01
DNMT1,0.4093115,NA,7.38E-01
S1PR2,0.3882412,NA,8.09E-01
ZGLP1,-0.5085888,NA,7.57E-01
RAVER1,-1.1817736,NA,4.10E-01
TYK2,0.1445431,NA,9.10E-01
PDE4A,0.2103403,NA,9.06E-01
ATG4D,-0.3038243,NA,8.49E-01
SLC44A2,0.7158696,NA,6.85E-01
ILF3,1.0412825,NA,5.19E-01
DNM2,2.2218861,NA,1.42E-01
C19orf38,0.9898801,NA,6.21E-01
LDLR,0.4842947,NA,8.00E-01
KANK2,-2.1874805,NA,2.17E-01
DOCK6,0.7479453,NA,5.76E-01
PLPPR2,-1.6138017,NA,2.84E-01
RGL3,0.7481696,NA,6.31E-01
ODAD3,0.6586161,NA,6.42E-01
ELAVL3,-1.5683026,NA,2.98E-01
CNN1,-1.8052397,NA,3.10E-01
ZNF44,1.0577959,NA,4.57E-01
MAN2B1,1.398574,NA,2.68E-01
FBXW9,-0.4399692,NA,8.37E-01
TNPO2,-0.5586036,NA,6.47E-01
BEST2,1.4270493,NA,4.39E-01
HOOK2,0.1523045,NA,9.14E-01
RTBDN,0.7393831,NA,6.00E-01
GCDH,-1.2424118,NA,4.22E-01
FARSA,1.7365044,NA,1.64E-01
NFIX,0.952179,NA,5.62E-01
TRMT1,0.8306147,NA,6.65E-01
CACNA1A,-0.9261933,NA,4.19E-01
ZSWIM4,0.9405608,NA,5.58E-01
MIR23AHG,1.3001173,NA,4.33E-01
BRME1,-0.0282178,NA,9.87E-01
CC2D1A,-0.1566852,NA,9.18E-01
PODNL1,0.2509591,NA,8.61E-01
RFX1,1.2350324,NA,3.53E-01
IL27RA,-0.396825,NA,7.94E-01
PALM3,0.0688247,NA,9.70E-01
PRKACA,0.6021271,NA,7.79E-01
PKN1,3.509746,NA,1.38E-02
ZNF333,-1.5368167,NA,3.23E-01
ADGRE2,0.016885,NA,9.89E-01
ILVBL,-1.0140519,NA,5.27E-01
NOTCH3,-0.3219029,NA,7.63E-01
BRD4,0.0855764,NA,9.38E-01
AKAP8,0.5214888,NA,7.05E-01
RASAL3,-0.5128301,NA,7.40E-01
CYP4F22,-0.0297618,NA,9.84E-01
CYP4F12,1.6496912,NA,3.75E-01
CYP4F11,-2.6953105,NA,1.18E-01
LINC00661,0.6050982,NA,7.29E-01
TPM4,0.1528387,NA,9.11E-01
HSH2D,-0.823089,NA,5.65E-01
KLF2,1.7533378,NA,3.14E-01
EPS15L1,-0.9488508,NA,5.72E-01
C19orf44,-0.6514669,NA,7.22E-01
CHERP,1.0312584,NA,5.44E-01
SLC35E1,-3.1478311,NA,4.39E-02
SMIM7,-2.4686451,NA,1.87E-01
TMEM38A,1.1578333,NA,5.23E-01
NWD1,0.1777035,NA,9.03E-01
SIN3B,-0.3180362,NA,8.31E-01
MYO9B,0.1673946,NA,8.80E-01
DDA1,-1.1758006,NA,4.48E-01
ANO8,-0.8321527,NA,4.30E-01
SLC27A1,1.0140695,NA,5.17E-01
NIBAN3,0.2133854,NA,8.78E-01
COLGALT1,-2.1701618,NA,1.38E-01
MAP1S,0.2478046,NA,8.30E-01
FCHO1,-0.2500618,NA,8.64E-01
JAK3,0.4454606,NA,6.90E-01
SLC5A5,-0.1607841,NA,8.91E-01
KCNN1,0.7452306,NA,6.30E-01
ARRDC2,0.6224247,NA,6.78E-01
PIK3R2,0.6826801,NA,6.63E-01
PDE4C,1.638489,NA,3.18E-01
IQCN,2.0462194,NA,1.63E-01
PGPEP1,1.6896052,NA,2.95E-01
SSBP4,0.4624433,NA,7.93E-01
ELL,0.5438035,NA,6.71E-01
FKBP8,1.2521674,NA,3.62E-01
KLHL26,1.2349071,NA,4.80E-01
CRTC1,0.590751,NA,6.25E-01
UPF1,0.405884,NA,7.19E-01
CERS1,0.8152036,NA,5.84E-01
GDF1,0.3660312,NA,8.52E-01
HOMER3,0.0955955,NA,9.57E-01
SUGP2,-0.5644261,NA,6.80E-01
SLC25A42,0.2832222,NA,8.54E-01
NCAN,-1.1514546,NA,3.59E-01
HAPLN4,0.9184757,NA,6.35E-01
TM6SF2,0.180168,NA,9.30E-01
SUGP1,-1.1940959,NA,4.31E-01
MAU2,1.2114571,NA,3.14E-01
GATAD2A,0.4012266,NA,6.70E-01
CILP2,0.7998317,NA,6.75E-01
GMIP,0.470982,NA,7.47E-01
ATP13A1,2.3967997,NA,6.96E-02
LOC101060187,-1.0582433,NA,4.80E-01
ZNF431,0.146088,NA,9.14E-01
LOC101929007,-0.5865824,NA,7.40E-01
ZNF208,-1.2052664,NA,4.36E-01
IPO5P1,-2.8285626,NA,8.97E-02
ZNF91,-1.7537766,NA,1.53E-01
ZNF726,-0.1162084,NA,9.54E-01
LOC100420587,-0.5050881,NA,7.96E-01
LOC102724908,0.8279065,NA,5.88E-01
UQCRFS1-DT,0.1156661,NA,9.49E-01
C19orf12,0.2982979,NA,8.25E-01
LINC01837,0.2667639,NA,8.69E-01
LOC105372364,1.7991985,NA,4.23E-01
